Abby/Abbey/Abbie	Abigail
Luke	Lucas
Lyn/Lynn	Carolyn
Lyn/Lynn	Marilyn
Maddy/Maddi/Maddie	Madeleine/Madeline
Maddy/Maddi/Maddie	Mathilda/Matilda
Madge	Margaret
Maggie/Maggi/Maggy	Margaret
Mags	Margaret
Mal	Malcolm
Mamie	Mary
Mandy	Amanda
Manny	Emmanuel
Manny	Manfred
Marc	Marcus
Marcy	Martha
Marcy/Marci/Marcie	Marsha/Marcia
Marg/Marge	Marjorie/Marjorey
Marti/Marty	Martha
Marty	Martin
Mat/Matt/Matty	Mathew
Mat/Matt/Matty	Matthias
Matty	Martha
Maura	Maureen
Maury/Maurie	Maurice
Max	Maximilian/Maximillian
Max	Maxwell
Meg	Margaret
Mel	Melissa
Mel	Melvin
Mickie/Micky	Miriam
Micky/Mickie	Michael
Midge	Margaret
Mike	Michael
Mimi	Mary
Mitch	Mitchell
Mo/Moe	Maurice
Mo/Moe	Morris
Mo/Moe	Moses
Molly	Mary
Mona	Desdemona
Mona	Monica
Morry/Morrie	Maurice/Morris
Mort	Mortimer
Mort	Morton
Nan	Ann/Anne
Nan	Annette
Nan	Nancy
Nan	Nanette
Nat	Natalie/Nathalie
Nat	Nathan
Nat	Nathaniel/Nathanael
Nate	Nathaniel/Nathanael
Nathan	Nathaniel/Nathanael
Ned	Edgar
Ned	Edward
Ned	Theodore
Neely	Cornelia
Nelly/Nellie	Eleanor
Netta	Antoinette
Nettie/Netty	Antoinette
Nick/Nicky/Nickie	Nicholas
Nicky/Nicki/Nickie	Nicole
Nora	Eleanor
Norm	Norman
Ollie/Olly	Oliver
Paddy	Patrick
Pam	Pamela
Pat	Patricia
Pat	Patrick
Patsy	Patricia
Patty	Patricia
Peg/Peggy/Peggie	Margaret
Penny	Penelope
Pete	Peter
Pete	Pierre
Phip	Phillip
Pip	Philip/Phillip
Polly	Mary
Polly	Pauline
Pris/Prissie/Prissy	Priscilla
Ray	Raymond
Ray	Raymund
Reg/Reggi/Reggie	Reginald
Rennie/Renny	Warren
Rich	Richard
Rick	Eric
Rick	Patrick
Rick	Richard
Rob	Robert
Rob	Robin
Robbie	Roberta
Ron/Ronni/Ronnie/Ronny	Ronald
Ron/Ronni/Ronnie/Ronny	Veronica
Rosa	Rosalyn
Rose	Rosalyn
Roy	Leroy
Roy	Royal/Royall
Rudy/Rudi	Rudolph
Ruffie	Rufus
Sally	Sarah
Sam	Samson
Sam	Samuel
Sandra	Cassandra
Sandy	Alexander
Sandy/Sandi/Sandie	Alexandra
Shelly	Michelle
Shelly	Sheldon
Shelly/Shellie	Rochelle
Sid	Sidney
Sissy	Cecilia/Celia
Sol	Solomon
Stan	Stanley
Steffie	Stephanie
Steve	Stephan
Steve	Stephen
Steve	Steven
Stu	Stewart
Stu	Stuart
Sue	Susan
Sue	Suzanne
Suzy/Suzi/Suzie	Susan/Suzanne
Tammy/Tammi/Tammie	Tamara
Ted/Teddy/Teddi/Teddie	Edward
Ted/Teddy/Teddi/Teddie	Theodore
Teddy/Teddi/Teddie	Theodora
Terry/Terri/Terrie	Teresa/Theresa/Therese
Terry/Terri/Terrie	Terrance/Terrence/Terence
Tess	Teresa/Theresa/Therese
Theo	Theodore
Tillie/Tilly	Mathilda/Matilda
Tim	Timothy
Tina	Christina/Kristina
Tish	Patricia
Toby/Tobi/Tobie	Tobias
Tom/Tommy/Tommie	Thomas
Tom/Tommy/Tommie	Thompson
Tom/Tommy/Tommie	Tomas
Tomar	Thomas
Toni/Tony	Antoinette
Tony	Anthony/Antony
Tori/Tory	Victoria
Trina	Katrina/Catrina/Katarina
Tris	Tristram
Trish	Patricia
Trudy/Trudi/Trudie	Gertrude
Ty	Tyrone
Ty	Tyson
Vic	Victor
Vicky/Vicki/Vickie	Victoria
Vin/Vinny/Vinnie	Vincent
Vince	Vincent
Wally/Wallie	Wallace
Wally/Wallie	Walter
Walt	Walter
Wes	Wesley
Wes	Weston
Will	Wilfred/William
Will/Willy/Willie	Wilfred
Will/Willy/Willie	William
Win	Edwin
Win	Winthrop
Win	Winsley/Winston
Win	Winston
Winnie/Winny	Winifred
Zach	Zachariah
Zach	Zachary
Zander	Alexander
Zeke	Ezekiel
Aaron	Erin/Ron/Ronnie
Abel	Ab/Abe/Eb/Ebbie
Abiah/Abijah	A.B./Ab/Biah
Abiel	Biel/Ab
Abraham/Abram	Abe
Abner	Ab
Adam	Ad/Ade
Adelbert	Ad/Ade/Albert/Bert/Del/Delbert/Elbert
Adolph/Adolphus	Ad/Dolph/Olph
Alabama	Bama/Al
Alan	Al
Alanson	Alan/Al/Lonson
Albert	Al/Bert/Elbert
Aldrich	Al/Rich/Richie
Alexander	Al/Alex/Eleck/Sandy
Alfred	Al/Fred
Alonzo	Al/Lon/Lonas/Lonzo
Anderson	Ander/Andy/Sonny
Andrew	Andy/Drew
Anthony	Tony/Tunis
Archibald	Archie/Baldo
Arthur	Art
Asaph	Asa
Asahel	Asa
Azariah	Aze/Riah
Augustus/Augustine	August/Austin/Gus
Barnabas	Barney
Bartholomew	Bart/Bartel/Bat/Mees/Meus
Basil	Baz
Benedict	Ben/Bennie
Benjamin	Ben/Bennie/Benjy/Jamie
Bernard	Barney/Berney
Birt	Bird
Bradford	Brad/Ford
Broderick	Ricky/Brady/Brody/Rod
Caleb	Cal/Calep
Calvin	Cal/Vin/Vinny
Cameron	Cam/Ronny/Ron
Carl	Charles/Charlie/Charley
Casey/Kasey	K.C.
Cedric	Ced/Rick/Ricky
Charles	Carl/Charlie/Chick/Chuck
Chauncey	Chan
Chester	Chet
Christopher/Christian	Chris/Kit
Clarence	Clair/Clare
Clement	Clem
Clifford	Cliff/Ford
Clifton	Cliff/Tony
Columbus	Clum
Conrad	Con/Conny/Connie
Cornelius	Con/Conny/Corny/Niel
Courtney	Court/Curt
Cyrenius	Cene/Cy/Renius/Serene/Swene
Cyrus	Cy/Si
Curtis	Curt
Dalton	Dal
Daniel	Dan/Danny
David	Dave/Davey/Day
Dawson	Dawse/Doss/Dos
Delbert	Bert/Del
Dennis	Dennie/Denny
Dennison	Dennis/Dennie/Denny
Derrick	Eric/Rick/Ricky
Donald	Don/Donny
Ebenezer	Eben/Eb/Ebbie
Edmund	Ed/Ned/Ted/Eddie
Edward	Ed/Ned/Ted/Teddy/Eddie
Edwin	Ed/Eddie/Ned/Win
Elbert	Albert/Bert/Birt/Bird
Eleazer	Lazar
Elias	Eli/Lee/Lias
Elijah	Eli/Lige
Eliphalet	Left
Elisha	Eli/Lish
Ellswood/Elswood	Elsey/Elze/Elsie
Elwood	Woody
Emanuel	Manny/Manuel
Ephraim	Eph
Epaphroditius	Dite/Ditus/Dyce/Dyche/Eppa
Eric	Rick/Ricky/Derrick
Ernest	Ernie
Eugene	Gene
Ezekiel	Ez/Zeke
Ezra	Ez/Ezry/Ezrie
Ferdinand	Ferdie
Francis	Frank/Fran
Franklin	Frank/Fran
Frederick	Fred/Freddy/Fritz
Gabriel	Gabe/Gabby
Geoffrey/Jeffrey	Geoff/Jeff
Gerald	Jerry/Gerry
Gilbert	Gil/Bert/Wilber
Harold	Hal/Harry
Henry	Hal/Hank/Harry
Herbert	Herb/Bert
Hezekiah	Hez/Hy/Kiah
Hiram	Hy
Hopkins	Hop/Hopp
Horace	Horry
Hubert	Hugh/Bert/Hub
Ignatius	Iggy/Nace/Nate/Natius
Isaac	Ike/Zeke
Isidore	Izzy
Jacob	Jaap/Jake/Jay/Jacobus
James	Jamie/Jem/Jim/Jimmy
Jebadiah	Jeb
Jedidiah	Jed
Jefferson	Jeff/Sonny
Jehiel	Hiel
Jeremiah	Jereme/Jerry
Johann	John
John	Jack/Jock/Johnny
Jonathan	Jon/John/Nathan
Joseph	Joe/Joey/Jos/Jody
Joshua	Josh/Joe
Josiah	Joe/Si
Judson	Jud/Sonny
Julias/Julian	Jule/Jules
Junior	JR/June/Junie
Kasey/Casy	K.C.
Kenneth	Ken/Kenny
Kingsley	King
Kingston	King
Lafayette	Fate/Laffie
Lamont	Monty
Lawrence/Laurence	Larry/Lars/Lon/Lonny/Lorne/Lorry
Lemuel	Lem
Leonard	Leo/Leon/Len/Lenny/Lineau
LeRoy	L.R./Lee/Roy
Leslie	Les
Lester	Les
Levi	Lee
Lincoln	Link
Lorenzo	Loren
Lucias/Lucas	Luke
Luther	Luke
Lyndon	Lynn/Lindy
Malachi	Mal
Malcolm	Mal
Marcus	Mark
Martin	Marty
Marvin	Marv
Matthew/Matthias	Matt/Thias/Thys
Maurice/Morris	Morey
Mervin	Merv
Michael	Mike/Micah/Mick/Mickey
Mitchell	Mitch
Montgomery	Monty/Gum
Napoleon	Nap/Nappy/Leon
Nathan	Nate
Nathaniel	Nathan/Nate/Nat/Natty/Than
Newton	Newt
Nicholas	Nick/Nickie/Claas/Claes
Norbert	Bert/Norby
Obediah	Diah/Dyer/Obed/Obie
Oliver	Ollie/Obbie/Obby
Oswald	Ossy/Ozzy/Waldo
Patrick	Paddy/Pat/Patsy/Pate
Pelegrine	Perry
Percival	Percy
Peter	Pete/Pate/Perry
Philetus	Leet/Phil
Phillip	Phil
Prescott	Scott/Scotty/Pres
Randolph	Randy/Dolph
Raymond	Ray
Reginald	Reg/Reggie/Naldo/Renny
Reuben	Rube
Richard	Dick/Dickon/Rich/Rick/Ricky
Robert	Bob/Dob/Dobbin/Hob/Hobkin/Rob/Robby/Bobby/Robin/Rupert
Roger/Rodger	Roge/Hodge/Rod
Roland	Lanny/Rollo/Rolly
Ronald	Ron/Ronnie/Naldo
Rudolph/Rudolphus	Dolph/Olph/Rolf/Rudy
Russell	Russ/Rusty
Samuel	Sam/Sammy
Seymour	Morey/See
Shelton	Shelly/Shel/Tony
Sheridan	Dan/Danny/Sher
Sidney	Sid/Syd
Silas	Si
Simon/Simeon	Si/Sion
Smith	Smitty
Solomon	Sal/Salmon/Saul/Sol/Solly/Zolly
Stephen/Steven	Steve/Steph
Sullivan	Sully/Van
Sylvester	Si/Sly/Sy/Syl/Vester/Vet/Vessie
Terence	Terry
Thaddeus	Thad
Theodore	Ted/Teddy/Theo
Theophilus	Theo
Thomas	Tom/Thom/Tommy
Timothy	Tim/Timmy
Tobias	Toby/Bias
Uriah	Riah
Valentine	Felty/Feltie
Vincent/Vinson	Vince/Vin/Vinnie
Wallace	Wally
Washington	Wash
Wilber/Wilbur	Will/Willie
Wilfred	Will/Willie/Fred
William	Will/Willie/Bill/Billy/Bela
Winfield	Win/Winny/Field
Woodrow	Wood/Woody/Drew
Zachariah	Zach/Zachy/Zeke
Zebedee	Zeb
Zedediah	Zed/Diah/Dyer
Zephaniah	Zeph
Aaron	Erin/Ron/Ronnie
Abel	Ab/Abe/Eb/Ebbie
Abiah/Abijah	A.B./Ab/Biah
Abiel	Biel/Ab
Abraham/Abram	Abe
Abner	Ab
Adam	Ad/Ade
Adelbert	Ad/Ade/Albert/Bert/Del/Delbert/Elbert
Adolph/Adolphus	Ad/Dolph/Olph
Alan	Al
Alanson	Alan/Al/Lonson
Albert	Al/Bert/Elbert
Aldrich	Al/Rich/Richie
Alexander	Al/Alex/Eleck/Sandy
Alfred	Al/Fred
Alonzo	Al/Lon/Lonzo
Anderson	Ander/Andy/Sonny
Andrew	Andy/Drew
Anthony	Tony
Archibald	Archie/Baldo
Arthur	Art
Asaph	Asa
Asahel	Asa
Azariah	Aze/Riah
Augustus/Augustine	August/Austin/Gus
Barnabas	Barney
Bartholomew	Bart/Bartel/Bat/Mees/Meus
Benedict	Ben/Bennie
Benjamin	Ben/Bennie/Benjy/Jamie
Bernard	Barney/Berney
Bradford	Brad/Ford
Broderick	Ricky/Brady/Brody
Calvin	Cal/Vin/Vinny
Cameron	Cam/Ronny/Ron
Casey/Kasey	K.C.
Cedric	Ced/Rick/Ricky
Charles	Carl/Charlie/Chick/Chuck
Chauncey	Chan
Chester	Chet
Christopher/Christian	Chris/Kit
Clarence	Clair/Clare
Clement	Clem
Clifford	Cliff/Ford
Clifton	Cliff/Tony
Columbus	Clum
Conrad	Con/Conny
Cornelius	Con/Conny/Corny/Niel
Courtney	Court/Curt
Cyrenius	Cene/Cy/Renius/Serene/Swene
Curtis	Curt
Dalton	Dahl/Dal
Daniel	Dan/Danny
David	Dave/Davey/Day
Delbert	Bert/Del
Dennis	Denny/Dennison
Derrick	Eric/Rick/Ricky
Donald	Don/Donny
Ebenezer	Eben/Eb/Ebbie
Edmund	Ed/Ned/Ted
Edward	Ed/Ned/Ted/Teddy
Edwin	Ed/Ned/Win
Eleazer	Lazar
Elias	Eli/Lee/Lias
Elijah	Eli/Lige
Eliphalet	Left
Elisha	Eli/Lish
Ellswood/Elswood	Elsey/Elze/Elsie
Elwood	Woody
Emanuel	Manny/Manuel
Ephraim	Eph
Epaphroditius	Dite/Ditus/Dyce/Dyche/Eppa
Eric	Rick/Ricky/Derrick
Ernest	Ernie
Eugene	Gene
Ezekiel	Ez/Zeke
Ezra	Ez
Ferdinand	Ferdie
Francis	Frank/Fran
Franklin	Frank/Fran
Frederick	Fred/Freddy/Fritz
Gabriel	Gabe/Gabby
Geoffrey/Jeffrey	Geoff/Jeff
Gerald	Jerry/Gerry
Gilbert	Gil/Bert/Wilber
Harold	Hal/Harry
Henry	Hal/Hank/Harry
Herbert	Herb/Bert
Hezekiah	Hez/Hy/Kiah
Hiram	Hy
Hopkins	Hop/Hopp
Horace	Horry
Hubert	Hugh/Bert/Hub
Ignatius	Iggy/Nace/Nate/Natius
Isaac	Ike/Zeke
Isidore	Izzy
Jacob	Jaap/Jake/Jay/Jacobus.
James	Jamie/Jem/Jim/Jimmy
Jedidiah	Jed
Jefferson	Jeff/Sonny
Jehiel	Hiel
Jeremiah	Jereme/Jerry
John	Jack/Jock/Johnny/Jonathan
Jonathan	Nathan/John/Jon
Joseph	Joe/Joey/Jos/Jody
Joshua	Josh/Jos
Josiah	Jos
Judson	Jud/Sonny
Julias/Julian	Jule
Junior	JR/June/Junie
Kenneth	Ken/Kenny/Kendall/Kendrick/Kent
King	Kingston/Kingsley
Lafayette	Fate/Laffie
Lamont	Monty
Lawrence/Laurence	Larry/Lon/Lonny/Lorne/Lorry
Lemuel	Lem
Leonard	Leo/Leon/Len/Lenny/Lineau
LeRoy	L.R./Lee/Roy
Leslie	Les
Lester	Les
Levi	Lee
Lincoln	Link
Lorenzo	Loren
Lucias/Lucas	Luke
Luther	Luke
Lyndon	Lynn/Lindy
Marcus	Mark
Martin	Marty
Marvin	Marv
Matthew/Matthias	Matt/Thias/Thys
Maurice/Morris	Morey
Mervyn	Merv
Micah	Michael
Michael	Mike/Micah/Mick/Micky
Mitchell	Mitch
Montgomery	Monty/Gum
Napoleon	Nap/Nappy/Leon
Nathan	Nate/Nathaniel/Jonathan
Nathaniel	Nathan/Nate/Nat/Natty/Than
Nicholas	Nick/Claas/Claes
Norbert	Bert/Norby
Obadiah	Diah/Dyer/Obed/Obie
Oliver	Ollie
Oswald	Ossy/Ozzy/Waldo
Patrick	Paddy/Pat/Patsy/Pate/Peter
Pelegrine	Perry
Percival	Percy
Peter	Pete/Pate
Philetus	Leet/Phil
Phillip	Phil
Prescott	Scott/Scotty/Pres
Ralph	Raphael
Randolph	Randy/Dolph
Raymond	Ray
Reginald	Reg/Reggie/Naldo/Renny
Reuben	Rube
Richard	Dick/Dickon/Rich/Rick/Ricky
Robert	Bob/Dob/Dobbin/Hob/Hobkin/Rob/Robby/Bobby/Robin/Rupert
Roger/Rodger	Roge/Hodge/Rod
Roland	Lanny/Rollo/Rolly/Orlando
Ronald	Ron/Ronny/Naldo
Rudolph/Rudolphus	Dolph/Olph/Rolf/Rudy
Rupert	Robert
Russell	Russ/Rusty
Samuel	Sam/Sammy
Seymour	Morey/See
Shelton	Shelly/Shel/Tony
Sheridan	Dan/Danny/Sher
Sidney	Sid/Syd
Silas	Si
Simon/Simeon	Si/Sion
Smith	Smitty
Solomon	Sal/Salmon/Saul/Sol/Solly/Zolly
Stephen/Steven	Steve/Steph
Sullivan	Sully/Van
Sylvester	Si/Sly/Sy/Syl/Vester/Vet/Vessie
Terence	Terry
Thaddeus	Thad
Theodore	Ted/Teddy/Theo
Thomas	Tom/Thom/Tommy
Timothy	Tim/Timmy
Tobias	Toby/Bias
Uriah	Riah
Valentine	Felty/Feltie
Vincent/Vinson	Vince/Vin/Vinny
Wallace	Wally
Wilber/Wilbur	Will/Gilbert
Wilfred	Will/Willie/Fred
William	Will/Willie/Bill/Billy/Bell/Bela
Winfield	Win/Winny/Field
Woodrow	Wood/Woody/Drew
Zachariah	Zach/Zachy/Zeke
Zebedee	Zeb
Zedediah	Zed/Diah/Dyer
Zephaniah	Zeph
Abigail	Abby/Nabby/Gail
Adaline/Adeline	Ada/Addy/Dell/Delia/Lena
Adelaide	Addy/Adele/Dell/Della/Heidi
Adelphia	Adele/Addy/Dell/Delphia/Philly
Agatha	Aggy
Agnes	Aggy/Inez/Nessa
Aileen	Allie/Lena
Alberta	Allie/Bert/Bertie
Alexandra	Alex/Alla/Sandy
Alfreda	Alfy/Freda/Freddy/Frieda
Alice/Alicia	Allie/Elsie/Lisa
Almena	Allie/Mena
Amanda	Manda/Mandy
Amelia	Emily/Mel/Millie/Amy
Ann/Anne	Annie/Nan/Nanny/Nana/Nancy
Ann	Antoinette/Christiana/Roseanne
Antoinette/Antonia	Ann/Tony/Netta
Arabella/Arabelle	Ara/Arry/Belle/Bella
Arlene	Arly/Lena
Armena	Arry/Mena
Asenath	Assene/Natty/Sene
Augusta/Augustina	Aggy/Gatsy/Gussie/Tina
Barbara	Bab/Babs/Barby/Bobbie
Beatrice	Bea/Trisha/Trix/Trixie
Belinda	Belle/Linda
Bertha	Birdie/Bert/Bertie
Bridget	Biddie/Biddy/Bridgie/Bridie
Camille	Cammie/Millie
Cornelia	Cornie/Nelia
Carol/Caroline/Carolyn	Carrie/Cassie/Lynn
Cassandra	Cassie/Sandra/Sandy
Catherine/Cathleen/Katherine/Kathleen	Cathy/Kathy/Katy/Cassie/Kay/Kit/Kittie/Trina/Lena
Cecilia	Celia/Cissy
Charlotte	Char/Lottie/Lotta/Sherry
Christine/Christina/Christiana/Kristine	Chris/Kris/Crissy/Christy/Kristy/Tina
Clarinda	Clara
Clarissa	Clara/Cissy
Constance	Connie
Cordelia	Cordy/Delia
Cornelia	Corny/Nelle/Nelly/Nelia
Cynthia	Cindy/Cintha
Darlene	Lena/Darry
Deborah/Debora	Debby/Debbie/Deb
Deliverance	Della/Delly/Dilly
Delores	Dell/Lola/Lolly/Della/Dee
Dicey	Dicie
Dorcus	Darkey
Dorothy	Dolly/Dot/Dortha/Dotty
Edith	Edie
Eleanor	Elaine/Ellen/Ellie/Lanna/Lenora/Nelly/Nora
Elizabeth	Eliza/Bess/Bessie/Beth/Betsy/Betty/Lib/Libby/Liza/Lisa/Liz/Lizzie
Elmira	Elly/Ellie/Mira
Elouise	Louise
Emily	Emmy/Millie/Emma
Emeline	Em/Emily/Emma/Emmy/Milly
Estelle/Estella	Essy/Stella
Evaline	Eva/Eve/Lena
Faith	Fay
Fidelia	Delia
Florence	Flo/Flora/Flossy
Frances	Fanny/Fran/Cissy/Frankie/Sis
Fredericka	Freda/Freddy/Ricka/Frieda
Gabrielle/Gabriella	Gabby/Ella
Genevieve	Eve/Jean/Jenny
Geraldine	Dina/Gerry/Gerrie/Jerry
Gertrude	Trudy/Gert/Gertie
Gwendolyn	Gwen/Wendy
Hannah	Nan/Nanny/Anna/Johannah/Susannah.
Harriet	Hattie
Helen/Helene	Ella/Ellen/Ellie/Lena
Heloise	Eloise/Lois
Henrietta	Etta/Etty/Hank/Nettie/Retta
Hermione	Hermie
Hepsibah/Hephsibah	Hipsie
Hester	Hessy/Esther/Hetty
Irene	Rena
Isabel/Isabelle/Isabella	Bella/Belle/Ib/Issy/Nib/Nibby/Tibbie
Isadora	Dora/Issy
Jane	Janie/Jean/Jennie/Jessie
Janet	Jessie/Jan
Jean/Jeanne	Jane/Jeannie
Jeanette	Janet/Jean/Jessie/Nettie
Jemima	Mima
Jennifer	Jennie
Jessica	Jessie
Joan	Nonie/Joanna/Johannah
Joanna/Johannah	Joan/Jody/Hannah
Josephine	Jody/Jo/Joey/Josey/Fina
Joyce	Joy
Juanita	Nettie/Nita
Julia	Julie/Jill
Keziah	Kizza/Kizzie
Lavina/Lavinia	Ina/Vina/Viney
Lenora	Nora/Lee
Letitia	Lettie/Lettice/Titia/Tish
Lillah	Lily/Lilly/Lil/Lolly
Lillian	Lil/Lilly/Lolly
Linda	Lindy/Lynn/Belinda/Melinda/Philinda
Lisa	Elizabeth/Alice/Melissa
Lois	Heloise/Louise
Loretta	Etta/Lorrie/Retta
Lorraine	Lorrie
Louise/Louisa	Lou/Eliza/Lois
Lucille	Lu/Lou/Cille/Lucy
Lucinda	Cindy/Lu/Lou/Lucy
Luella	Ella/Lu/Lula
Lydia/Lidia	Lyddy
Lynn	Carolyn/Madeline/Linda
Madeline	Lena/Maddy/Madge/Magda/Maggie/Maida/Maud
Magdelina	Lena/Madge/Magda
Mahala	Hallie
Margaret/Margaretta	Daisy/Gretta/Madge/Maggie/Meg/Midge/Peg/Peggy/Rita/Margery/Marge/Margie
Martha	Marty/Mat/Mattie/Patsy/Patty
Mary	Molly/Polly/Mae/Mamie/Mitzi
Matilda	Tilly/Matty/Maud
Mehitabel	Hetty/Hitty/Mabel/Mitty
Melinda	Linda/Lindy/Mel/Mindy
Melissa	Lisa/Lissa/Mel/Milly/Missy
Michelle	Mickey
